date,volume,open,close,high,low
11-05-2018,4665321,307.7,301.06,308.88,299.08
10-05-2018,5642771,307.4997,305.02,312.99,304.1119
09-05-2018,5712255,300.41,306.85,307.01,300.05
08-05-2018,5927447,300.795,301.97,307.75,299
07-05-2018,8673090,297.5,302.77,305.9588,295.17
04-05-2018,8565506,283,294.09,296.86,279.52
03-05-2018,17339090,278.79,284.45,288.04,275.23
02-05-2018,8346176,298.57,301.15,306.85,297.7844
01-05-2018,4614946,293.51,299.92,300.82,293.22
30-04-2018,4224068,293.61,293.9,298.73,292.5
27-04-2018,4346854,285.37,294.075,294.47,283.83
26-04-2018,4348108,278.75,285.48,285.79,276.5
25-04-2018,4000421,283.5,280.69,285.16,277.25
24-04-2018,5678242,285,283.46,287.09,278.46
23-04-2018,4880743,291.29,283.37,291.62,282.33
20-04-2018,5622630,295.17,290.24,299.98,289.75
19-04-2018,6083800,291.08,300.08,301.01,288.55
18-04-2018,6531563,291.08,293.35,300.24,288.16
17-04-2018,6931152,288.87,287.69,292.17,282.51
16-04-2018,6289497,299,291.21,299.66,289.01
13-04-2018,7319225,303.6,300.34,303.9499,295.98
12-04-2018,7595525,302.32,294.08,303.95,293.68
11-04-2018,7470204,300.74,300.93,308.98,299.66
10-04-2018,11017010,298.97,304.7,307.1,293.68
09-04-2018,10241410,300.37,289.66,309.5,289.21
06-04-2018,13516530,301,299.3,309.28,295.5
05-04-2018,19025860,289.34,305.72,306.26,288.2
04-04-2018,19880180,252.78,286.94,288.37,252
03-04-2018,18829650,269.82,267.53,273.35,254.49
02-04-2018,16093290,256.26,252.48,260.3318,244.5901
29-03-2018,15014440,256.49,266.13,270.9599,248.21
28-03-2018,20962280,264.58,257.78,268.68,252.1
27-03-2018,13787060,304,279.18,304.27,277.18
26-03-2018,8364937,307.34,304.18,307.59,291.36
23-03-2018,6639960,311.25,301.54,311.61,300.45
22-03-2018,4924928,313.89,309.1,318.82,308.18
21-03-2018,5954247,310.25,316.53,322.44,310.19
20-03-2018,4761031,314.87,310.55,316.25,308.76
19-03-2018,7467890,316.5,313.56,320.75,309.67
16-03-2018,6113365,325.96,321.35,327.4,319.07
15-03-2018,6554568,329.38,325.6,332.85,321.1
14-03-2018,7952152,336.76,326.63,339.81,323.93
13-03-2018,5960636,344.92,341.84,345.12,336.2635
12-03-2018,8252919,328.61,345.51,347.21,326.5
09-03-2018,5502779,324.1,327.17,328.49,322.37
08-03-2018,3514367,332.86,329.1,333.3,326.274
07-03-2018,5001940,325.44,332.3,332.5,321.74
06-03-2018,4236483,333.75,328.2,336.37,327.03
05-03-2018,3820702,332.39,333.35,337.75,329.2929
02-03-2018,5088789,326.98,335.12,335.22,322.97
01-03-2018,6872552,345.01,330.93,348.67,330.07
28-02-2018,6066044,352.57,343.06,355.24,342.22
27-02-2018,4785022,356.25,350.99,359.99,350.01
26-02-2018,4334500,353.5,357.42,359,352.355
23-02-2018,5814177,347.83,352.05,354.99,347.1
22-02-2018,6961880,335.53,346.17,347.44,334.7501
21-02-2018,3207250,336.03,333.3,339.6929,333.17
20-02-2018,4005962,334.47,334.77,340.84,331.5
16-02-2018,5640184,332.5,335.49,343.12,331.64
15-02-2018,5909823,324.5,334.065,334.12,322.4
14-02-2018,3948077,320.84,322.31,326.17,318.52
13-02-2018,4554631,315.02,323.66,324.19,312.5105
12-02-2018,6224479,316.13,315.73,318.08,306.25
09-02-2018,12924430,319.93,310.42,320.9845,294.76
08-02-2018,10296420,343.31,315.23,348.62,314.6
07-02-2018,6729682,338.99,345,346,335.66
06-02-2018,5080032,325.21,333.97,336.22,323.5
05-02-2018,4441166,337.97,333.13,344.47,333
02-02-2018,3696157,348.44,343.75,351.95,340.51
01-02-2018,4187440,351,349.25,359.66,348.63
31-01-2018,6199373,347.51,354.31,356.19,345.19
30-01-2018,4710684,345.14,345.82,348.27,342.17
29-01-2018,4738208,339.85,349.53,350.85,338.28
26-01-2018,4535457,341.5,342.85,344,335.71
25-01-2018,6725208,348.27,337.64,349.2,336.4
24-01-2018,5277386,354.58,345.89,354.75,343.52
23-01-2018,5447622,360,352.79,360.5,351
22-01-2018,6199777,349.4,351.56,357.83,349.2
19-01-2018,4871181,345,350.02,350.5899,342.6
18-01-2018,5679629,345.67,344.57,352.3,343.74
17-01-2018,7092554,340.47,347.16,349,339.75
16-01-2018,6429234,337.54,340.06,345,334.8
12-01-2018,4822509,338.63,336.22,340.41,333.67
11-01-2018,6640863,335.24,337.95,344.8099,333.26
10-01-2018,4303053,332.2,334.8,337,330
09-01-2018,7134525,335.16,333.69,338.8,327.405
08-01-2018,9832610,316,336.41,337.0199,315.5
05-01-2018,4588728,316.62,316.58,317.24,312
04-01-2018,9944593,312.87,314.62,318.55,305.68
03-01-2018,4438520,321,317.25,325.25,315.55
02-01-2018,4345615,312,320.53,322.1099,311
29-12-2017,3769504,316.18,311.35,316.41,310
28-12-2017,4306746,311.75,315.36,315.82,309.54
27-12-2017,4705084,316,311.64,317.68,310.75
26-12-2017,4368699,323.83,317.29,323.94,316.58
22-12-2017,4207602,329.51,325.2,330.9214,324.82
21-12-2017,4369994,329.59,331.66,333.74,327.21
20-12-2017,5907378,332.69,328.98,333.1,325.04
19-12-2017,6820868,340.26,331.1,341.4925,330.3
18-12-2017,5466546,344.9,338.87,346.73,337.58
15-12-2017,6921246,342.04,343.45,343.9,335.76
14-12-2017,5792024,341.01,337.89,347.44,336.9
13-12-2017,6217701,340.93,339.03,344.22,336.5
12-12-2017,8715570,330.45,341.03,341.44,330.03
11-12-2017,7926090,314.63,328.91,329.01,313.75
08-12-2017,3466088,314.6,315.13,316.98,311.26
07-12-2017,4779590,312,311.24,318.6341,311.05
06-12-2017,7184477,300.1,313.26,313.39,300
05-12-2017,4643708,302,303.7,308,301
04-12-2017,5834227,306.5,305.2,308.265,300.61
01-12-2017,4286082,305.44,306.53,310.32,305.05
30-11-2017,4345434,308.56,308.85,310.7,304.54
29-11-2017,8757463,317.3,307.54,318,301.23
28-11-2017,4941703,316.36,317.55,320,313.92
27-11-2017,4537779,313.25,316.81,317.34,309.51
24-11-2017,3244065,313.79,315.55,316.41,311
22-11-2017,4913283,316.77,312.6,317.42,311.84
21-11-2017,7256381,310.86,317.81,318.23,308.71
20-11-2017,8241821,313.79,308.74,315.5,304.75
17-11-2017,13720830,325.67,315.05,326.67,313.15
16-11-2017,5794409,313.99,312.5,318.14,311.3
15-11-2017,5951835,306.01,311.3,312.49,301.5
14-11-2017,5661904,315,308.7,316.35,306.9
13-11-2017,7565242,300.13,315.4,316.8,299.11
10-11-2017,4621080,302.5,302.99,308.36,301.85
09-11-2017,5440173,302.5,302.99,304.46,296.3
08-11-2017,4725355,305.5,304.39,306.89,301.3001
07-11-2017,5284844,301.02,306.05,306.5,300.03
06-11-2017,6480689,307,302.78,307.5,299.01
03-11-2017,8885933,299.5,306.09,306.25,295.13
02-11-2017,19771280,300.13,299.26,308.69,292.63
01-11-2017,8242487,332.25,321.08,332.6089,320.26
31-10-2017,5650062,320.23,331.53,331.95,320.18
30-10-2017,4247619,319.18,320.08,323.78,317.25
27-10-2017,6968365,319.75,320.87,324.59,316.66
26-10-2017,5010087,327.78,326.17,330.23,323.2
25-10-2017,8583619,336.7,325.84,337.5,323.56
24-10-2017,4485692,338.8,337.34,342.8,336.16
23-10-2017,5739598,349.88,337.02,349.95,336.25
